('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on guadalupe
*****************************************
Fri Mar 22 03:14:16 2024
(1, '16QBT_large_gate_opt1_3_1.5_no.0.qasm', 16, 38, 197, 159, 0.09, 5.1842)
(2, '16QBT_small_gate_opt2_5_1.5_no.6.qasm', 15, 23, 101, 78, 0.01, 4.3913)
(3, '16QBT_small_gate_opt1_20_1.5_no.9.qasm', 16, 125, 419, 294, 0.36, 3.352)
(4, '16QBT_large_gate_opt2_20_1.5_no.6.qasm', 16, 106, 574, 468, 0.36, 5.4151)
(5, '16QBT_large_gate_opt2_0_1.5_no.4.qasm', 12, 9, 45, 36, 0.02, 5.0)
(6, '16QBT_large_gate_opt1_20_1.5_no.2.qasm', 16, 214, 811, 597, 0.48, 3.7897)
(7, '16QBT_large_gate_opt2_0_1.5_no.9.qasm', 11, 9, 66, 57, 0.04, 7.3333)
(8, '16QBT_small_gate_opt2_10_1.5_no.2.qasm', 16, 35, 248, 213, 0.05, 7.0857)
(9, '16QBT_large_gate_opt2_10_1.5_no.7.qasm', 16, 56, 269, 213, 0.11, 4.8036)
(10, '16QBT_large_gate_opt2_15_1.5_no.5.qasm', 16, 86, 485, 399, 0.18, 5.6395)
(11, '16QBT_small_gate_opt1_4_1.5_no.0.qasm', 14, 30, 120, 90, 0.07, 4.0)
(12, '16QBT_small_gate_opt1_20_1.5_no.1.qasm', 16, 125, 596, 471, 0.25, 4.768)
(13, '16QBT_large_gate_opt2_20_1.5_no.1.qasm', 16, 120, 462, 342, 0.38, 3.85)
(14, '16QBT_large_gate_opt2_20_1.5_no.0.qasm', 16, 117, 600, 483, 0.31, 5.1282)
(15, '16QBT_large_gate_opt2_25_1.5_no.0.qasm', 16, 143, 647, 504, 0.3, 4.5245)
(16, '16QBT_small_gate_opt1_4_1.5_no.9.qasm', 14, 28, 208, 180, 0.06, 7.4286)
(17, '16QBT_small_gate_opt2_1_1.5_no.3.qasm', 13, 12, 72, 60, 0.05, 6.0)
(18, '16QBT_small_gate_opt1_25_1.5_no.4.qasm', 16, 155, 791, 636, 0.61, 5.1032)
(19, '16QBT_large_gate_opt1_5_1.5_no.1.qasm', 16, 60, 219, 159, 0.11, 3.65)
(20, '16QBT_large_gate_opt2_5_1.5_no.0.qasm', 16, 44, 221, 177, 0.12, 5.0227)
(21, '16QBT_small_gate_opt2_20_1.5_no.5.qasm', 16, 64, 322, 258, 0.11, 5.0312)
(22, '16QBT_small_gate_opt2_10_1.5_no.9.qasm', 16, 36, 237, 201, 0.14, 6.5833)
(23, '16QBT_large_gate_opt2_20_1.5_no.4.qasm', 16, 108, 636, 528, 0.22, 5.8889)
(24, '16QBT_small_gate_opt2_1_1.5_no.1.qasm', 8, 8, 20, 12, 0.0, 2.5)
(25, '16QBT_large_gate_opt2_10_1.5_no.6.qasm', 16, 60, 315, 255, 0.18, 5.25)
(26, '16QBT_large_gate_opt1_20_1.5_no.3.qasm', 16, 207, 1053, 846, 0.59, 5.087)
(27, '16QBT_small_gate_opt2_15_1.5_no.3.qasm', 15, 54, 261, 207, 0.1, 4.8333)
(28, '16QBT_large_gate_opt1_1_1.5_no.9.qasm', 14, 20, 176, 156, 0.04, 8.8)
(29, '16QBT_small_gate_opt1_1_1.5_no.8.qasm', 12, 12, 60, 48, 0.02, 5.0)
(30, '16QBT_large_gate_opt2_0_1.5_no.7.qasm', 13, 10, 64, 54, 0.01, 6.4)
(31, '16QBT_large_gate_opt1_4_1.5_no.9.qasm', 16, 55, 265, 210, 0.09, 4.8182)
(32, '16QBT_small_gate_opt2_4_1.5_no.3.qasm', 13, 16, 34, 18, 0.01, 2.125)
(33, '16QBT_small_gate_opt1_4_1.5_no.1.qasm', 15, 27, 165, 138, 0.1, 6.1111)
(34, '16QBT_small_gate_opt1_5_1.5_no.1.qasm', 14, 34, 115, 81, 0.08, 3.3824)
