('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on sycamore
*****************************************
Wed Apr  3 18:57:19 2024
(1, '53QBT_gate_Sycamore_large_opt2_15_1.5_no.1.qasm', 52, 172, 1204, 1032, 70.99, 7.0)
(2, '53QBT_gate_Sycamore_small_opt1_25_1.5_no.3.qasm', 53, 268, 1879, 1611, 182.06, 7.0112)
(3, '53QBT_gate_Sycamore_small_opt1_15_1.5_no.3.qasm', 51, 168, 1119, 951, 219.77, 6.6607)
(4, '53QBT_gate_Sycamore_large_opt2_0_1.5_no.5.qasm', 30, 18, 108, 90, 8.89, 6.0)
(5, '53QBT_gate_Sycamore_large_opt2_1_1.5_no.8.qasm', 36, 33, 249, 216, 7.47, 7.5455)
(6, '53QBT_gate_Sycamore_large_opt1_25_1.5_no.3.qasm', 53, 494, 3836, 3342, 221.64, 7.7652)
(7, '53QBT_gate_Sycamore_small_opt2_0_1.5_no.3.qasm', 15, 10, 43, 33, 0.05, 4.3)
(8, '53QBT_gate_Sycamore_large_opt1_0_1.5_no.5.qasm', 27, 18, 78, 60, 1.01, 4.3333)
(9, '53QBT_gate_Sycamore_large_opt2_1_1.5_no.2.qasm', 35, 36, 249, 213, 5.91, 6.9167)
(10, '53QBT_gate_Sycamore_small_opt1_1_1.5_no.3.qasm', 27, 20, 80, 60, 9.54, 4.0)
(11, '53QBT_gate_Sycamore_large_opt1_2_1.5_no.6.qasm', 43, 58, 325, 267, 51.45, 5.6034)
(12, '53QBT_gate_Sycamore_large_opt2_2_1.5_no.3.qasm', 40, 40, 265, 225, 60.19, 6.625)
(13, '53QBT_gate_Sycamore_small_opt1_15_1.5_no.2.qasm', 53, 169, 1402, 1233, 256.68, 8.2959)
(14, '53QBT_gate_Sycamore_small_opt1_1_1.5_no.8.qasm', 21, 18, 72, 54, 0.99, 4.0)
(15, '53QBT_gate_Sycamore_small_opt1_25_1.5_no.7.qasm', 53, 260, 1805, 1545, 214.79, 6.9423)
(16, '53QBT_gate_Sycamore_large_opt1_15_1.5_no.3.qasm', 53, 306, 1914, 1608, 179.27, 6.2549)
(17, '53QBT_gate_Sycamore_small_opt1_10_1.5_no.0.qasm', 50, 113, 596, 483, 145.48, 5.2743)
(18, '53QBT_gate_Sycamore_small_opt1_10_1.5_no.4.qasm', 52, 111, 867, 756, 749.38, 7.8108)
(19, '53QBT_gate_Sycamore_large_opt1_10_1.5_no.5.qasm', 53, 205, 1543, 1338, 547.92, 7.5268)
(20, '53QBT_gate_Sycamore_small_opt1_15_1.5_no.8.qasm', 53, 154, 1012, 858, 411.04, 6.5714)
(21, '53QBT_gate_Sycamore_large_opt2_25_1.5_no.1.qasm', 53, 268, 1852, 1584, 1193.73, 6.9104)
(22, '53QBT_gate_Sycamore_large_opt1_20_1.5_no.7.qasm', 53, 393, 2898, 2505, 272.6, 7.374)
(23, '53QBT_gate_Sycamore_large_opt1_3_1.5_no.2.qasm', 48, 77, 647, 570, 85.76, 8.4026)
(24, '53QBT_gate_Sycamore_small_opt2_3_1.5_no.7.qasm', 27, 30, 159, 129, 2.42, 5.3)
(25, '53QBT_gate_Sycamore_small_opt2_5_1.5_no.0.qasm', 36, 43, 163, 120, 3.87, 3.7907)
(26, '53QBT_gate_Sycamore_small_opt2_15_1.5_no.2.qasm', 48, 89, 467, 378, 153.79, 5.2472)
(27, '53QBT_gate_Sycamore_small_opt1_2_1.5_no.6.qasm', 33, 32, 266, 234, 25.04, 8.3125)
(28, '53QBT_gate_Sycamore_small_opt2_1_1.5_no.9.qasm', 29, 21, 111, 90, 0.76, 5.2857)
(29, '53QBT_gate_Sycamore_large_opt1_4_1.5_no.3.qasm', 52, 93, 672, 579, 64.71, 7.2258)
(30, '53QBT_gate_Sycamore_small_opt1_0_1.5_no.3.qasm', 14, 8, 50, 42, 0.24, 6.25)
(31, '53QBT_gate_Sycamore_small_opt2_25_1.5_no.8.qasm', 52, 143, 1097, 954, 163.96, 7.6713)
