('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on q16
*****************************************
Wed Apr  3 18:53:26 2024
(1, '16QBT_small_gate_opt2_25_1.5_no.6.qasm', 16, 78, 207, 129, 14.46, 2.6538)
(2, '16QBT_large_gate_opt1_1_1.5_no.4.qasm', 13, 20, 68, 48, 0.3, 3.4)
(3, '16QBT_small_gate_opt1_25_1.5_no.1.qasm', 16, 157, 358, 201, 16.14, 2.2803)
(4, '16QBT_large_gate_opt2_0_1.5_no.6.qasm', 11, 11, 35, 24, 0.07, 3.1818)
(5, '16QBT_large_gate_opt2_0_1.5_no.0.qasm', 11, 9, 21, 12, 0.08, 2.3333)
(6, '16QBT_large_gate_opt1_2_1.5_no.7.qasm', 16, 31, 88, 57, 5.55, 2.8387)
(7, '16QBT_large_gate_opt1_20_1.5_no.8.qasm', 16, 214, 505, 291, 20.46, 2.3598)
(8, '16QBT_large_gate_opt1_0_1.5_no.2.qasm', 11, 12, 33, 21, 1.38, 2.75)
(9, '16QBT_large_gate_opt2_2_1.5_no.4.qasm', 15, 22, 67, 45, 0.69, 3.0455)
(10, '16QBT_small_gate_opt1_15_1.5_no.8.qasm', 16, 87, 198, 111, 4.58, 2.2759)
(11, '16QBT_small_gate_opt1_5_1.5_no.6.qasm', 15, 32, 74, 42, 6.27, 2.3125)
(12, '16QBT_small_gate_opt2_15_1.5_no.5.qasm', 16, 51, 141, 90, 4.02, 2.7647)
(13, '16QBT_small_gate_opt2_25_1.5_no.5.qasm', 16, 94, 229, 135, 12.24, 2.4362)
(14, '16QBT_large_gate_opt2_0_1.5_no.8.qasm', 12, 11, 38, 27, 1.29, 3.4545)
(15, '16QBT_small_gate_opt1_5_1.5_no.7.qasm', 16, 35, 92, 57, 3.83, 2.6286)
(16, '16QBT_small_gate_opt2_10_1.5_no.1.qasm', 14, 36, 93, 57, 3.19, 2.5833)
(17, '16QBT_large_gate_opt2_25_1.5_no.1.qasm', 16, 144, 336, 192, 23.45, 2.3333)
(18, '16QBT_large_gate_opt2_15_1.5_no.3.qasm', 16, 92, 254, 162, 9.93, 2.7609)
(19, '16QBT_large_gate_opt1_10_1.5_no.2.qasm', 16, 112, 277, 165, 13.11, 2.4732)
(20, '16QBT_large_gate_opt2_4_1.5_no.6.qasm', 16, 28, 85, 57, 5.32, 3.0357)
(21, '16QBT_small_gate_opt2_3_1.5_no.1.qasm', 13, 15, 39, 24, 1.4, 2.6)
(22, '16QBT_small_gate_opt1_10_1.5_no.3.qasm', 16, 67, 184, 117, 6.17, 2.7463)
(23, '16QBT_large_gate_opt1_4_1.5_no.8.qasm', 16, 49, 121, 72, 3.81, 2.4694)
(24, '16QBT_small_gate_opt2_15_1.5_no.6.qasm', 15, 51, 114, 63, 0.74, 2.2353)
(25, '16QBT_small_gate_opt2_15_1.5_no.7.qasm', 16, 54, 135, 81, 4.99, 2.5)
(26, '16QBT_small_gate_opt2_1_1.5_no.4.qasm', 11, 10, 25, 15, 0.31, 2.5)
(27, '16QBT_small_gate_opt1_4_1.5_no.5.qasm', 16, 30, 90, 60, 2.01, 3.0)
(28, '16QBT_large_gate_opt1_2_1.5_no.2.qasm', 14, 28, 91, 63, 5.33, 3.25)
(29, '16QBT_small_gate_opt1_25_1.5_no.3.qasm', 16, 140, 332, 192, 9.25, 2.3714)
(30, '16QBT_small_gate_opt1_1_1.5_no.9.qasm', 10, 10, 28, 18, 0.06, 2.8)
(31, '16QBT_large_gate_opt2_2_1.5_no.9.qasm', 14, 20, 50, 30, 0.54, 2.5)
(32, '16QBT_large_gate_opt1_3_1.5_no.4.qasm', 16, 41, 110, 69, 3.01, 2.6829)
(33, '16QBT_large_gate_opt1_2_1.5_no.3.qasm', 15, 28, 85, 57, 1.62, 3.0357)
(34, '16QBT_large_gate_opt2_10_1.5_no.4.qasm', 16, 69, 195, 126, 9.19, 2.8261)
(35, '16QBT_small_gate_opt1_5_1.5_no.8.qasm', 15, 36, 99, 63, 4.57, 2.75)
(36, '16QBT_large_gate_opt1_20_1.5_no.5.qasm', 16, 225, 525, 300, 33.76, 2.3333)
(37, '16QBT_large_gate_opt2_3_1.5_no.1.qasm', 15, 29, 80, 51, 0.65, 2.7586)
(38, '16QBT_small_gate_opt2_4_1.5_no.0.qasm', 13, 20, 56, 36, 1.17, 2.8)
(39, '16QBT_small_gate_opt1_0_1.5_no.9.qasm', 6, 5, 14, 9, 0.01, 2.8)
(40, '16QBT_large_gate_opt1_5_1.5_no.2.qasm', 16, 58, 151, 93, 6.41, 2.6034)
(41, '16QBT_small_gate_opt2_4_1.5_no.5.qasm', 11, 15, 33, 18, 1.87, 2.2)
(42, '16QBT_large_gate_opt1_5_1.5_no.7.qasm', 15, 60, 156, 96, 5.28, 2.6)
(43, '16QBT_large_gate_opt1_0_1.5_no.1.qasm', 13, 12, 36, 24, 6.03, 3.0)
(44, '16QBT_small_gate_opt1_15_1.5_no.5.qasm', 16, 100, 202, 102, 3.19, 2.02)
(45, '16QBT_small_gate_opt1_10_1.5_no.4.qasm', 16, 60, 141, 81, 1.79, 2.35)
(46, '16QBT_small_gate_opt2_5_1.5_no.7.qasm', 13, 20, 56, 36, 0.66, 2.8)
(47, '16QBT_small_gate_opt1_0_1.5_no.2.qasm', 7, 6, 21, 15, 0.03, 3.5)
(48, '16QBT_small_gate_opt2_15_1.5_no.4.qasm', 16, 55, 127, 72, 2.19, 2.3091)
(49, '16QBT_large_gate_opt2_1_1.5_no.6.qasm', 14, 22, 85, 63, 3.04, 3.8636)
(50, '16QBT_small_gate_opt2_4_1.5_no.9.qasm', 11, 16, 37, 21, 0.08, 2.3125)
(51, '16QBT_large_gate_opt2_1_1.5_no.7.qasm', 15, 22, 58, 36, 1.27, 2.6364)
(52, '16QBT_large_gate_opt2_1_1.5_no.9.qasm', 13, 19, 52, 33, 0.13, 2.7368)
(53, '16QBT_large_gate_opt2_15_1.5_no.9.qasm', 16, 90, 237, 147, 6.81, 2.6333)
(54, '16QBT_large_gate_opt1_10_1.5_no.3.qasm', 16, 112, 211, 99, 18.04, 1.8839)
(55, '16QBT_large_gate_opt1_25_1.5_no.7.qasm', 16, 261, 630, 369, 15.52, 2.4138)
(56, '16QBT_large_gate_opt2_1_1.5_no.5.qasm', 14, 18, 51, 33, 0.76, 2.8333)
(57, '16QBT_large_gate_opt2_4_1.5_no.8.qasm', 15, 32, 80, 48, 5.16, 2.5)
(58, '16QBT_small_gate_opt2_4_1.5_no.4.qasm', 14, 15, 33, 18, 3.88, 2.2)
(59, '16QBT_large_gate_opt2_0_1.5_no.5.qasm', 12, 10, 28, 18, 1.82, 2.8)
(60, '16QBT_small_gate_opt2_0_1.5_no.7.qasm', 7, 5, 23, 18, 0.45, 4.6)
(61, '16QBT_large_gate_opt1_3_1.5_no.8.qasm', 16, 42, 105, 63, 1.52, 2.5)
(62, '16QBT_small_gate_opt2_25_1.5_no.0.qasm', 16, 80, 197, 117, 8.79, 2.4625)
(63, '16QBT_small_gate_opt2_1_1.5_no.0.qasm', 9, 12, 27, 15, 0.19, 2.25)
(64, '16QBT_large_gate_opt1_2_1.5_no.6.qasm', 16, 28, 94, 66, 4.45, 3.3571)
(65, '16QBT_large_gate_opt2_1_1.5_no.0.qasm', 14, 20, 71, 51, 5.03, 3.55)
(66, '16QBT_large_gate_opt2_2_1.5_no.7.qasm', 15, 20, 56, 36, 13.13, 2.8)
(67, '16QBT_small_gate_opt2_10_1.5_no.8.qasm', 15, 36, 84, 48, 2.77, 2.3333)
(68, '16QBT_large_gate_opt1_0_1.5_no.4.qasm', 9, 9, 24, 15, 0.27, 2.6667)
(69, '16QBT_small_gate_opt1_15_1.5_no.7.qasm', 16, 91, 181, 90, 2.41, 1.989)
(70, '16QBT_large_gate_opt2_5_1.5_no.4.qasm', 16, 42, 90, 48, 9.07, 2.1429)
(71, '16QBT_small_gate_opt2_3_1.5_no.8.qasm', 11, 17, 47, 30, 0.16, 2.7647)
(72, '16QBT_large_gate_opt1_25_1.5_no.8.qasm', 16, 269, 623, 354, 20.35, 2.316)
(73, '16QBT_large_gate_opt1_3_1.5_no.3.qasm', 16, 42, 129, 87, 4.33, 3.0714)
(74, '16QBT_small_gate_opt1_0_1.5_no.0.qasm', 7, 5, 17, 12, 0.06, 3.4)
(75, '16QBT_large_gate_opt1_1_1.5_no.6.qasm', 14, 20, 68, 48, 2.86, 3.4)
(76, '16QBT_large_gate_opt2_5_1.5_no.6.qasm', 16, 35, 101, 66, 6.03, 2.8857)
(77, '16QBT_large_gate_opt2_20_1.5_no.5.qasm', 16, 109, 316, 207, 10.19, 2.8991)
(78, '16QBT_large_gate_opt1_10_1.5_no.9.qasm', 16, 109, 226, 117, 2.94, 2.0734)
(79, '16QBT_small_gate_opt1_5_1.5_no.3.qasm', 16, 37, 88, 51, 5.41, 2.3784)
(80, '16QBT_large_gate_opt1_15_1.5_no.3.qasm', 16, 160, 409, 249, 11.05, 2.5562)
(81, '16QBT_large_gate_opt1_25_1.5_no.5.qasm', 16, 283, 586, 303, 24.38, 2.0707)
(82, '16QBT_large_gate_opt2_3_1.5_no.8.qasm', 14, 29, 74, 45, 0.73, 2.5517)
(83, '16QBT_large_gate_opt2_15_1.5_no.6.qasm', 16, 85, 205, 120, 5.56, 2.4118)
(84, '16QBT_large_gate_opt1_20_1.5_no.7.qasm', 16, 216, 423, 207, 22.83, 1.9583)
(85, '16QBT_large_gate_opt1_4_1.5_no.2.qasm', 16, 50, 113, 63, 0.95, 2.26)
(86, '16QBT_large_gate_opt1_0_1.5_no.5.qasm', 9, 8, 32, 24, 0.17, 4.0)
(87, '16QBT_small_gate_opt1_1_1.5_no.1.qasm', 12, 12, 30, 18, 0.56, 2.5)
