('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on q16
*****************************************
Wed Apr  3 18:53:06 2024
(121, '16QBT_small_gate_opt1_1_1.5_no.4.qasm', 9, 12, 15, 3, 0.0, 1.25)
(122, '16QBT_large_gate_opt1_10_1.5_no.5.qasm', 16, 117, 258, 141, 15.76, 2.2051)
(123, '16QBT_large_gate_opt2_1_1.5_no.3.qasm', 15, 21, 66, 45, 1.33, 3.1429)
(124, '16QBT_small_gate_opt2_4_1.5_no.8.qasm', 14, 17, 44, 27, 2.08, 2.5882)
(125, '16QBT_small_gate_opt2_5_1.5_no.3.qasm', 14, 21, 54, 33, 2.16, 2.5714)
(126, '16QBT_small_gate_opt2_5_1.5_no.5.qasm', 15, 22, 61, 39, 2.67, 2.7727)
(127, '16QBT_small_gate_opt1_15_1.5_no.9.qasm', 16, 87, 192, 105, 10.42, 2.2069)
(128, '16QBT_large_gate_opt1_0_1.5_no.7.qasm', 11, 8, 20, 12, 0.27, 2.5)
(129, '16QBT_small_gate_opt2_20_1.5_no.8.qasm', 16, 73, 151, 78, 3.02, 2.0685)
(130, '16QBT_small_gate_opt2_20_1.5_no.1.qasm', 16, 63, 150, 87, 8.6, 2.381)
(131, '16QBT_small_gate_opt1_3_1.5_no.1.qasm', 15, 25, 64, 39, 0.86, 2.56)
(132, '16QBT_large_gate_opt2_4_1.5_no.9.qasm', 14, 24, 57, 33, 1.2, 2.375)
(133, '16QBT_small_gate_opt2_1_1.5_no.7.qasm', 9, 9, 33, 24, 0.11, 3.6667)
The average ratio is 19940:8393 = 2.3758
The time spent for this test is 891.77 : 892.03
