('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on sycamore
*****************************************
Wed Apr  3 18:57:08 2024
(1, '53QBT_gate_Sycamore_small_opt2_4_1.5_no.7.qasm', 38, 31, 163, 132, 8.22, 5.2581)
(2, '53QBT_gate_Sycamore_large_opt2_20_1.5_no.1.qasm', 51, 204, 1452, 1248, 99.99, 7.1176)
(3, '53QBT_gate_Sycamore_large_opt1_15_1.5_no.0.qasm', 53, 306, 2433, 2127, 179.31, 7.951)
(4, '53QBT_gate_Sycamore_large_opt2_25_1.5_no.3.qasm', 53, 261, 2292, 2031, 197.46, 8.7816)
(5, '53QBT_gate_Sycamore_small_opt2_20_1.5_no.2.qasm', 53, 115, 676, 561, 109.3, 5.8783)
(6, '53QBT_gate_Sycamore_large_opt2_1_1.5_no.6.qasm', 38, 41, 128, 87, 1.77, 3.122)
(7, '53QBT_gate_Sycamore_large_opt2_5_1.5_no.6.qasm', 46, 77, 506, 429, 62.86, 6.5714)
(8, '53QBT_gate_Sycamore_large_opt1_3_1.5_no.9.qasm', 48, 75, 633, 558, 144.82, 8.44)
(9, '53QBT_gate_Sycamore_large_opt1_4_1.5_no.5.qasm', 53, 94, 760, 666, 119.35, 8.0851)
(10, '53QBT_gate_Sycamore_small_opt2_10_1.5_no.5.qasm', 41, 60, 366, 306, 149.47, 6.1)
(11, '53QBT_gate_Sycamore_small_opt2_10_1.5_no.4.qasm', 44, 62, 329, 267, 43.4, 5.3065)
(12, '53QBT_gate_Sycamore_small_opt2_5_1.5_no.9.qasm', 40, 40, 253, 213, 25.9, 6.325)
(13, '53QBT_gate_Sycamore_small_opt1_3_1.5_no.4.qasm', 38, 39, 222, 183, 188.93, 5.6923)
(14, '53QBT_gate_Sycamore_small_opt2_20_1.5_no.1.qasm', 50, 108, 828, 720, 92.02, 7.6667)
(15, '53QBT_gate_Sycamore_large_opt1_0_1.5_no.7.qasm', 25, 17, 95, 78, 1.8, 5.5882)
(16, '53QBT_gate_Sycamore_small_opt1_15_1.5_no.1.qasm', 51, 157, 883, 726, 55.41, 5.6242)
(17, '53QBT_gate_Sycamore_large_opt1_20_1.5_no.9.qasm', 53, 399, 3270, 2871, 133.28, 8.1955)
(18, '53QBT_gate_Sycamore_large_opt2_1_1.5_no.3.qasm', 40, 38, 263, 225, 328.3, 6.9211)
(19, '53QBT_gate_Sycamore_large_opt1_3_1.5_no.5.qasm', 49, 77, 695, 618, 82.33, 9.026)
(20, '53QBT_gate_Sycamore_large_opt2_3_1.5_no.3.qasm', 43, 60, 354, 294, 39.02, 5.9)
(21, '53QBT_gate_Sycamore_small_opt2_1_1.5_no.3.qasm', 21, 20, 44, 24, 0.17, 2.2)
(22, '53QBT_gate_Sycamore_large_opt1_0_1.5_no.4.qasm', 26, 20, 53, 33, 1.67, 2.65)
(23, '53QBT_gate_Sycamore_small_opt2_0_1.5_no.5.qasm', 17, 11, 50, 39, 0.1, 4.5455)
(24, '53QBT_gate_Sycamore_small_opt1_10_1.5_no.5.qasm', 49, 117, 810, 693, 133.47, 6.9231)
(25, '53QBT_gate_Sycamore_large_opt2_20_1.5_no.2.qasm', 53, 198, 1497, 1299, 386.5, 7.5606)
(26, '53QBT_gate_Sycamore_large_opt2_20_1.5_no.9.qasm', 53, 205, 1207, 1002, 211.29, 5.8878)
(27, '53QBT_gate_Sycamore_small_opt2_20_1.5_no.0.qasm', 52, 113, 971, 858, 636.61, 8.5929)
(28, '53QBT_gate_Sycamore_large_opt2_3_1.5_no.0.qasm', 42, 56, 398, 342, 23.26, 7.1071)
(29, '53QBT_gate_Sycamore_large_opt1_1_1.5_no.8.qasm', 40, 40, 301, 261, 74.66, 7.525)
(30, '53QBT_gate_Sycamore_small_opt2_2_1.5_no.8.qasm', 27, 21, 72, 51, 3.42, 3.4286)
(31, '53QBT_gate_Sycamore_large_opt2_25_1.5_no.4.qasm', 53, 271, 1966, 1695, 109.17, 7.2546)
