('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on torino
*****************************************
Sat Jul 13 23:33:41 2024
(12, '133QBT_large_gate_opt1_2_1.5_no.5.qasm', 130, 237, 6021, 5784, 24084.81, 25.4051)
(15, '133QBT_large_gate_opt1_3_1.5_no.6.qasm', 131, 317, 5906, 5589, 24185.03, 18.6309)
(63, '133QBT_small_gate_opt1_20_1.5_no.2.qasm', 133, 849, 13986, 13137, 13376.92, 16.4735)
(61, '133QBT_large_gate_opt1_2_1.5_no.0.qasm', 132, 233, 4895, 4662, 14981.83, 21.0086)
(42, '133QBT_large_gate_opt2_5_1.5_no.6.qasm', 133, 310, 6181, 5871, 25501.99, 19.9387)
(55, '133QBT_large_gate_opt1_10_1.5_no.3.qasm', 133, 849, 14919, 14070, 21814.72, 17.5724)
(26, '133QBT_large_gate_opt2_10_1.5_no.7.qasm', 133, 466, 8464, 7998, 26699.54, 18.1631)
(62, '133QBT_small_gate_opt1_25_1.5_no.6.qasm', 133, 1022, 16181, 15159, 17129.47, 15.8327)
(35, '133QBT_large_gate_opt2_25_1.5_no.5.qasm', 133, 1094, 19292, 18198, 28749.55, 17.6344)
(37, '133QBT_large_gate_opt1_25_1.5_no.7.qasm', 133, 2011, 34468, 32457, 30657.84, 17.1397)
(29, '133QBT_small_gate_opt1_20_1.5_no.9.qasm', 133, 833, 13172, 12339, 30910.8, 15.8127)
(60, '133QBT_large_gate_opt1_25_1.5_no.3.qasm', 133, 1991, 32642, 30651, 24023.86, 16.3948)
(57, '133QBT_large_gate_opt1_4_1.5_no.6.qasm', 133, 386, 7073, 6687, 27034.01, 18.3238)
(51, '133QBT_large_gate_opt2_25_1.5_no.7.qasm', 133, 1090, 20308, 19218, 36435.38, 18.6312)
(54, '133QBT_small_gate_opt2_20_1.5_no.4.qasm', 133, 435, 8778, 8343, 36409.76, 20.1793)
Sat Jul 13 23:33:41 2024
over
