('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on torino
*****************************************
Fri Jun 21 15:56:14 2024
(241, '133QBT_small_gate_opt2_2_1.5_no.5.qasm', 94, 73, 409, 336, 18.06, 5.6027)
(253, '133QBT_small_gate_opt2_2_1.5_no.1.qasm', 93, 79, 319, 240, 17.97, 4.038)
(9, '133QBT_small_gate_opt2_1_1.5_no.9.qasm', 88, 77, 314, 237, 22.06, 4.0779)
(321, '133QBT_small_gate_opt1_1_1.5_no.3.qasm', 95, 83, 308, 225, 20.1, 3.7108)
(336, '133QBT_small_gate_opt1_1_1.5_no.6.qasm', 94, 84, 309, 225, 20.65, 3.6786)
(224, '133QBT_small_gate_opt2_1_1.5_no.2.qasm', 94, 75, 324, 249, 24.87, 4.32)
(382, '133QBT_small_gate_opt2_1_1.5_no.1.qasm', 87, 79, 340, 261, 21.49, 4.3038)
(326, '133QBT_small_gate_opt2_2_1.5_no.2.qasm', 86, 82, 334, 252, 28.11, 4.0732)
(397, '133QBT_small_gate_opt2_2_1.5_no.7.qasm', 86, 80, 320, 240, 23.16, 4.0)
(126, '133QBT_small_gate_opt1_1_1.5_no.4.qasm', 93, 79, 196, 117, 32.86, 2.481)
(265, '133QBT_small_gate_opt2_2_1.5_no.4.qasm', 95, 79, 274, 195, 35.37, 3.4684)
(250, '133QBT_small_gate_opt1_1_1.5_no.5.qasm', 93, 77, 299, 222, 40.49, 3.8831)
Fri Jun 21 15:56:14 2024
over
