('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on rochester
*****************************************
Wed Apr  3 18:49:44 2024
(113, '53QBT_gate_Rochester_large_opt2_1_1.5_no.8.qasm', 41, 41, 404, 363, 2.27, 9.8537)
(115, '53QBT_gate_Rochester_small_opt1_15_1.5_no.1.qasm', 52, 165, 1614, 1449, 15.73, 9.7818)
(116, '53QBT_gate_Rochester_large_opt1_0_1.5_no.5.qasm', 28, 20, 98, 78, 0.43, 4.9)
(117, '53QBT_gate_Rochester_small_opt2_5_1.5_no.2.qasm', 36, 38, 548, 510, 3.14, 14.4211)
(118, '53QBT_gate_Rochester_small_opt2_2_1.5_no.4.qasm', 26, 20, 122, 102, 1.19, 6.1)
(119, '53QBT_gate_Rochester_large_opt2_4_1.5_no.9.qasm', 49, 58, 625, 567, 9.14, 10.7759)
(124, '53QBT_gate_Rochester_large_opt2_0_1.5_no.0.qasm', 29, 18, 192, 174, 0.82, 10.6667)
(125, '53QBT_gate_Rochester_large_opt1_2_1.5_no.0.qasm', 48, 57, 663, 606, 8.28, 11.6316)
(127, '53QBT_gate_Rochester_small_opt1_5_1.5_no.1.qasm', 44, 61, 658, 597, 11.29, 10.7869)
(128, '53QBT_gate_Rochester_small_opt2_5_1.5_no.4.qasm', 43, 43, 385, 342, 6.24, 8.9535)
(129, '53QBT_gate_Rochester_large_opt1_2_1.5_no.3.qasm', 45, 53, 410, 357, 4.24, 7.7358)
The average ratio is 34179:13361 = 2.5581
The time spent for this test is 422.75 : 1100.11
