('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on rochester
*****************************************
Mon Apr  1 16:15:29 2024
(110, '53QBT_gate_Rochester_small_opt1_10_1.5_no.3.qasm', 50, 106, 1030, 924, 31.84, 9.717)
(111, '53QBT_gate_Rochester_large_opt1_5_1.5_no.3.qasm', 52, 115, 1375, 1260, 5.33, 11.9565)
(112, '53QBT_gate_Rochester_small_opt1_1_1.5_no.0.qasm', 22, 17, 197, 180, 0.79, 11.5882)
(113, '53QBT_gate_Rochester_small_opt1_15_1.5_no.7.qasm', 52, 156, 1395, 1239, 14.61, 8.9423)
(114, '53QBT_gate_Rochester_large_opt1_25_1.5_no.3.qasm', 53, 497, 3764, 3267, 32.27, 7.5734)
(115, '53QBT_gate_Rochester_large_opt2_1_1.5_no.6.qasm', 37, 38, 302, 264, 3.22, 7.9474)
(116, '53QBT_gate_Rochester_large_opt1_5_1.5_no.1.qasm', 53, 117, 1089, 972, 6.21, 9.3077)
(118, '53QBT_gate_Rochester_small_opt2_15_1.5_no.3.qasm', 49, 82, 952, 870, 9.43, 11.6098)
(122, '53QBT_gate_Rochester_small_opt1_4_1.5_no.5.qasm', 42, 52, 418, 366, 4.62, 8.0385)
(124, '53QBT_gate_Rochester_large_opt1_3_1.5_no.1.qasm', 49, 76, 925, 849, 24.39, 12.1711)
(125, '53QBT_gate_Rochester_small_opt1_4_1.5_no.8.qasm', 44, 51, 474, 423, 2.45, 9.2941)
(126, '53QBT_gate_Rochester_large_opt2_2_1.5_no.6.qasm', 38, 37, 358, 321, 4.74, 9.6757)
(127, '53QBT_gate_Rochester_small_opt2_3_1.5_no.5.qasm', 39, 31, 427, 396, 2.52, 13.7742)
(133, '53QBT_gate_Rochester_small_opt1_1_1.5_no.1.qasm', 21, 19, 154, 135, 0.57, 8.1053)
(134, '53QBT_gate_Rochester_small_opt2_10_1.5_no.7.qasm', 49, 59, 599, 540, 9.15, 10.1525)
The average ratio is 49570:15299 = 3.2401
The time spent for this test is 639.05 : 1378.94
