('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on guadalupe
*****************************************
Fri Mar 22 03:13:58 2024
(1, '16QBT_large_gate_opt2_3_1.5_no.6.qasm', 16, 28, 88, 60, 0.02, 3.1429)
(2, '16QBT_small_gate_opt1_15_1.5_no.0.qasm', 16, 91, 352, 261, 0.13, 3.8681)
(3, '16QBT_small_gate_opt1_10_1.5_no.0.qasm', 16, 67, 241, 174, 0.08, 3.597)
(4, '16QBT_small_gate_opt1_1_1.5_no.3.qasm', 11, 11, 17, 6, 0.0, 1.5455)
(5, '16QBT_small_gate_opt2_15_1.5_no.8.qasm', 16, 50, 251, 201, 0.05, 5.02)
(6, '16QBT_small_gate_opt1_20_1.5_no.0.qasm', 16, 116, 305, 189, 0.08, 2.6293)
(7, '16QBT_small_gate_opt2_0_1.5_no.4.qasm', 9, 6, 6, 0, 0.0, 1.0)
(8, '16QBT_large_gate_opt1_1_1.5_no.3.qasm', 16, 19, 40, 21, 0.02, 2.1053)
(9, '16QBT_large_gate_opt1_20_1.5_no.6.qasm', 16, 211, 583, 372, 0.24, 2.763)
(10, '16QBT_large_gate_opt2_20_1.5_no.2.qasm', 16, 123, 312, 189, 0.27, 2.5366)
(11, '16QBT_small_gate_opt1_20_1.5_no.3.qasm', 16, 118, 565, 447, 0.18, 4.7881)
(12, '16QBT_small_gate_opt1_1_1.5_no.2.qasm', 15, 11, 20, 9, 0.0, 1.8182)
(13, '16QBT_small_gate_opt2_15_1.5_no.2.qasm', 16, 45, 189, 144, 0.06, 4.2)
(14, '16QBT_large_gate_opt1_2_1.5_no.4.qasm', 14, 31, 109, 78, 0.01, 3.5161)
(15, '16QBT_small_gate_opt1_4_1.5_no.2.qasm', 14, 26, 89, 63, 0.09, 3.4231)
(16, '16QBT_small_gate_opt2_15_1.5_no.9.qasm', 16, 57, 273, 216, 0.14, 4.7895)
(17, '16QBT_small_gate_opt2_10_1.5_no.4.qasm', 16, 37, 148, 111, 0.12, 4.0)
(18, '16QBT_large_gate_opt2_2_1.5_no.1.qasm', 16, 21, 48, 27, 0.0, 2.2857)
(19, '16QBT_small_gate_opt2_20_1.5_no.9.qasm', 16, 67, 280, 213, 0.08, 4.1791)
(20, '16QBT_small_gate_opt2_5_1.5_no.3.qasm', 14, 27, 93, 66, 0.01, 3.4444)
(21, '16QBT_small_gate_opt2_25_1.5_no.9.qasm', 16, 85, 346, 261, 0.12, 4.0706)
(22, '16QBT_small_gate_opt1_3_1.5_no.1.qasm', 15, 22, 109, 87, 0.04, 4.9545)
(23, '16QBT_small_gate_opt2_1_1.5_no.7.qasm', 11, 10, 13, 3, 0.0, 1.3)
(24, '16QBT_small_gate_opt2_5_1.5_no.8.qasm', 15, 20, 50, 30, 0.01, 2.5)
(25, '16QBT_large_gate_opt2_15_1.5_no.7.qasm', 16, 93, 321, 228, 0.14, 3.4516)
(26, '16QBT_small_gate_opt1_3_1.5_no.2.qasm', 12, 20, 29, 9, 0.0, 1.45)
(27, '16QBT_large_gate_opt1_15_1.5_no.8.qasm', 16, 161, 833, 672, 0.26, 5.1739)
(28, '16QBT_large_gate_opt2_2_1.5_no.3.qasm', 14, 18, 75, 57, 0.01, 4.1667)
(29, '16QBT_large_gate_opt1_15_1.5_no.6.qasm', 16, 161, 680, 519, 0.15, 4.2236)
(30, '16QBT_small_gate_opt1_2_1.5_no.9.qasm', 14, 17, 38, 21, 0.01, 2.2353)
(31, '16QBT_small_gate_opt2_0_1.5_no.2.qasm', 7, 5, 5, 0, 0.0, 1.0)
(32, '16QBT_small_gate_opt2_2_1.5_no.9.qasm', 11, 12, 15, 3, 0.0, 1.25)
(33, '16QBT_small_gate_opt1_15_1.5_no.1.qasm', 16, 93, 372, 279, 0.18, 4.0)
(34, '16QBT_large_gate_opt2_3_1.5_no.7.qasm', 15, 30, 75, 45, 0.07, 2.5)
