('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on guadalupe
*****************************************
Fri Mar 22 03:14:26 2024
(119, '16QBT_large_gate_opt2_0_1.5_no.5.qasm', 11, 10, 49, 39, 0.03, 4.9)
(120, '16QBT_large_gate_opt1_1_1.5_no.1.qasm', 14, 22, 163, 141, 0.04, 7.4091)
(121, '16QBT_large_gate_opt1_3_1.5_no.3.qasm', 16, 40, 229, 189, 0.15, 5.725)
(122, '16QBT_large_gate_opt1_10_1.5_no.4.qasm', 16, 107, 407, 300, 0.24, 3.8037)
(123, '16QBT_large_gate_opt1_5_1.5_no.4.qasm', 16, 55, 217, 162, 0.09, 3.9455)
(124, '16QBT_large_gate_opt1_5_1.5_no.7.qasm', 16, 67, 241, 174, 0.12, 3.597)
(125, '16QBT_large_gate_opt2_20_1.5_no.5.qasm', 16, 118, 517, 399, 0.27, 4.3814)
(126, '16QBT_small_gate_opt1_1_1.5_no.9.qasm', 12, 11, 71, 60, 0.02, 6.4545)
(127, '16QBT_small_gate_opt1_10_1.5_no.2.qasm', 16, 60, 300, 240, 0.15, 5.0)
(128, '16QBT_small_gate_opt2_10_1.5_no.8.qasm', 15, 29, 188, 159, 0.04, 6.4828)
(129, '16QBT_small_gate_opt2_1_1.5_no.0.qasm', 9, 9, 24, 15, 0.0, 2.6667)
(130, '16QBT_small_gate_opt2_0_1.5_no.7.qasm', 7, 5, 29, 24, 0.01, 5.8)
(131, '16QBT_small_gate_opt2_4_1.5_no.0.qasm', 14, 19, 160, 141, 0.06, 8.4211)
(132, '16QBT_large_gate_opt1_2_1.5_no.3.qasm', 16, 32, 203, 171, 0.04, 6.3438)
(133, '16QBT_large_gate_opt1_3_1.5_no.8.qasm', 16, 41, 287, 246, 0.09, 7.0)
(134, '16QBT_large_gate_opt1_25_1.5_no.2.qasm', 16, 259, 1234, 975, 0.59, 4.7645)
The average ratio is 37944:7743 = 4.9004
The time spent for this test is 19.31 : 19.74
