('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on rochester
*****************************************
Wed Apr  3 18:51:07 2024
(1, '53QBT_gate_Rochester_small_opt1_0_1.5_no.0.qasm', 15, 10, 79, 69, 0.07, 7.9)
(2, '53QBT_gate_Rochester_large_opt1_1_1.5_no.4.qasm', 39, 39, 414, 375, 6.17, 10.6154)
(4, '53QBT_gate_Rochester_large_opt2_4_1.5_no.2.qasm', 44, 57, 843, 786, 7.4, 14.7895)
(5, '53QBT_gate_Rochester_small_opt2_0_1.5_no.7.qasm', 14, 9, 75, 66, 0.03, 8.3333)
(6, '53QBT_gate_Rochester_small_opt1_3_1.5_no.5.qasm', 35, 33, 441, 408, 3.88, 13.3636)
(7, '53QBT_gate_Rochester_small_opt1_0_1.5_no.7.qasm', 15, 9, 81, 72, 0.02, 9.0)
(13, '53QBT_gate_Rochester_small_opt2_1_1.5_no.1.qasm', 27, 18, 177, 159, 0.65, 9.8333)
(16, '53QBT_gate_Rochester_large_opt2_0_1.5_no.2.qasm', 28, 21, 213, 192, 0.59, 10.1429)
(18, '53QBT_gate_Rochester_small_opt1_5_1.5_no.2.qasm', 43, 63, 711, 648, 11.34, 11.2857)
(19, '53QBT_gate_Rochester_small_opt2_2_1.5_no.6.qasm', 24, 18, 45, 27, 0.14, 2.5)
(20, '53QBT_gate_Rochester_large_opt1_1_1.5_no.9.qasm', 38, 39, 408, 369, 2.9, 10.4615)
(21, '53QBT_gate_Rochester_small_opt2_2_1.5_no.1.qasm', 25, 19, 256, 237, 0.97, 13.4737)
(22, '53QBT_gate_Rochester_small_opt2_2_1.5_no.8.qasm', 26, 21, 261, 240, 1.0, 12.4286)
(23, '53QBT_gate_Rochester_large_opt1_0_1.5_no.1.qasm', 24, 17, 272, 255, 1.34, 16.0)
(24, '53QBT_gate_Rochester_large_opt1_0_1.5_no.6.qasm', 24, 17, 158, 141, 0.88, 9.2941)
(25, '53QBT_gate_Rochester_small_opt1_25_1.5_no.4.qasm', 53, 266, 2420, 2154, 22.04, 9.0977)
(26, '53QBT_gate_Rochester_small_opt1_4_1.5_no.7.qasm', 35, 44, 443, 399, 3.29, 10.0682)
(27, '53QBT_gate_Rochester_small_opt2_25_1.5_no.8.qasm', 53, 147, 1767, 1620, 28.55, 12.0204)
(28, '53QBT_gate_Rochester_large_opt1_20_1.5_no.4.qasm', 53, 398, 4220, 3822, 68.21, 10.603)
(29, '53QBT_gate_Rochester_large_opt1_1_1.5_no.0.qasm', 43, 37, 391, 354, 9.68, 10.5676)
(30, '53QBT_gate_Rochester_small_opt2_0_1.5_no.4.qasm', 17, 10, 130, 120, 0.12, 13.0)
(31, '53QBT_gate_Rochester_small_opt1_1_1.5_no.5.qasm', 27, 20, 212, 192, 2.08, 10.6)
(33, '53QBT_gate_Rochester_small_opt1_3_1.5_no.8.qasm', 37, 39, 462, 423, 4.32, 11.8462)
(34, '53QBT_gate_Rochester_small_opt1_2_1.5_no.1.qasm', 29, 28, 217, 189, 1.35, 7.75)
(35, '53QBT_gate_Rochester_small_opt1_5_1.5_no.9.qasm', 49, 59, 608, 549, 6.18, 10.3051)
(37, '53QBT_gate_Rochester_small_opt2_5_1.5_no.5.qasm', 40, 40, 352, 312, 18.96, 8.8)
(38, '53QBT_gate_Rochester_small_opt2_0_1.5_no.5.qasm', 19, 11, 101, 90, 0.18, 9.1818)
(39, '53QBT_gate_Rochester_small_opt2_0_1.5_no.1.qasm', 16, 11, 152, 141, 0.17, 13.8182)
(42, '53QBT_gate_Rochester_small_opt2_2_1.5_no.2.qasm', 27, 19, 295, 276, 1.5, 15.5263)
(45, '53QBT_gate_Rochester_small_opt2_10_1.5_no.1.qasm', 45, 64, 544, 480, 7.38, 8.5)
(46, '53QBT_gate_Rochester_small_opt1_4_1.5_no.9.qasm', 44, 52, 436, 384, 2.22, 8.3846)
(47, '53QBT_gate_Rochester_small_opt1_0_1.5_no.2.qasm', 13, 9, 99, 90, 0.11, 11.0)
(49, '53QBT_gate_Rochester_small_opt2_5_1.5_no.6.qasm', 43, 39, 630, 591, 7.21, 16.1538)
(50, '53QBT_gate_Rochester_large_opt1_3_1.5_no.4.qasm', 50, 78, 951, 873, 26.17, 12.1923)
(52, '53QBT_gate_Rochester_small_opt1_5_1.5_no.0.qasm', 41, 63, 570, 507, 10.82, 9.0476)
(53, '53QBT_gate_Rochester_large_opt1_25_1.5_no.2.qasm', 53, 494, 4454, 3960, 41.43, 9.0162)
(54, '53QBT_gate_Rochester_large_opt2_2_1.5_no.4.qasm', 43, 34, 451, 417, 16.47, 13.2647)
(60, '53QBT_gate_Rochester_large_opt2_4_1.5_no.6.qasm', 47, 56, 596, 540, 7.54, 10.6429)
(65, '53QBT_gate_Rochester_small_opt1_0_1.5_no.3.qasm', 14, 9, 78, 69, 0.08, 8.6667)
(66, '53QBT_gate_Rochester_large_opt2_2_1.5_no.7.qasm', 43, 39, 402, 363, 4.59, 10.3077)
(67, '53QBT_gate_Rochester_large_opt1_1_1.5_no.1.qasm', 40, 39, 45, 6, 0.0, 1.1538)
(68, '53QBT_gate_Rochester_small_opt1_2_1.5_no.2.qasm', 32, 32, 401, 369, 3.52, 12.5312)
