('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on rochester
*****************************************
Wed Apr  3 21:30:21 2024
(48, 'realamprandom_nativegates_ibm_qiskit_opt0_30.qasm', 30, 1305, 9612, 8307, 41.6, 7.3655)
(49, 'graphstate_nativegates_ibm_qiskit_opt0_50.qasm', 50, 50, 503, 453, 4.56, 10.06)
(50, 'ae_nativegates_ibm_qiskit_opt0_30.qasm', 30, 870, 4584, 3714, 16.15, 5.269)
(51, 'su2random_nativegates_ibm_qiskit_opt0_40.qasm', 40, 2340, 21093, 18753, 94.93, 9.0141)
(52, 'graphstate_nativegates_ibm_qiskit_opt0_30.qasm', 30, 30, 204, 174, 0.77, 6.8)
(53, 'realamprandom_nativegates_ibm_qiskit_opt0_20.qasm', 20, 570, 4332, 3762, 7.51, 7.6)
(54, 'su2random_nativegates_ibm_qiskit_opt0_50.qasm', 50, 3675, 37896, 34221, 328.37, 10.3118)
(55, 'realamprandom_nativegates_ibm_qiskit_opt0_10.qasm', 10, 135, 615, 480, 0.47, 4.5556)
(56, 'grover-noancilla_nativegates_ibm_qiskit_opt0_10.qasm', 10, 39032, 87140, 48108, 48.31, 2.2325)
(57, 'qft_nativegates_ibm_qiskit_opt0_40.qasm', 40, 1620, 7656, 6036, 54.56, 4.7259)
(58, 'realamprandom_nativegates_ibm_qiskit_opt0_40.qasm', 40, 2340, 21093, 18753, 94.31, 9.0141)
(59, 'qftentangled_nativegates_ibm_qiskit_opt0_30.qasm', 30, 944, 4031, 3087, 19.72, 4.2701)
(60, 'qpeinexact_nativegates_ibm_qiskit_opt0_30.qasm', 30, 912, 4437, 3525, 17.22, 4.8651)
(61, 'twolocalrandom_nativegates_ibm_qiskit_opt0_30.qasm', 30, 1305, 9612, 8307, 40.9, 7.3655)
(62, 'qftentangled_nativegates_ibm_qiskit_opt0_50.qasm', 50, 2574, 13905, 11331, 311.92, 5.4021)
(63, 'qpeinexact_nativegates_ibm_qiskit_opt0_40.qasm', 40, 1617, 8841, 7224, 63.5, 5.4675)
(64, 'qft_nativegates_ibm_qiskit_opt0_30.qasm', 30, 915, 4032, 3117, 15.94, 4.4066)
(65, 'wstate_nativegates_ibm_qiskit_opt0_50.qasm', 50, 98, 221, 123, 0.01, 2.2551)
(66, 'qnn_nativegates_ibm_qiskit_opt0_40.qasm', 40, 3159, 17307, 14148, 92.46, 5.4786)
(67, 'wstate_nativegates_ibm_qiskit_opt0_10.qasm', 10, 18, 18, 0, 0.0, 1.0)
(68, 'qftentangled_nativegates_ibm_qiskit_opt0_10.qasm', 10, 114, 303, 189, 0.11, 2.6579)
(69, 'realamprandom_nativegates_ibm_qiskit_opt0_50.qasm', 50, 3675, 37896, 34221, 333.62, 10.3118)
(70, 'qpeinexact_nativegates_ibm_qiskit_opt0_20.qasm', 20, 407, 1847, 1440, 2.45, 4.5381)
(71, 'qpeinexact_nativegates_ibm_qiskit_opt0_10.qasm', 10, 102, 258, 156, 0.1, 2.5294)
The average ratio is 514749:120982 = 4.2548
The time spent for this test is 3029.44 : 3056.62
