('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on sycamore
*****************************************
Wed Apr  3 21:30:12 2024
(46, 'vqe_nativegates_ibm_qiskit_opt0_10.qasm', 10, 18, 18, 0, 0.0, 1.0)
(47, 'qft_nativegates_ibm_qiskit_opt0_50.qasm', 50, 2525, 9023, 6498, 316.33, 3.5735)
(48, 'realamprandom_nativegates_ibm_qiskit_opt0_30.qasm', 30, 1305, 7041, 5736, 169.17, 5.3954)
(49, 'graphstate_nativegates_ibm_qiskit_opt0_50.qasm', 50, 50, 272, 222, 12.07, 5.44)
(50, 'ae_nativegates_ibm_qiskit_opt0_30.qasm', 30, 870, 2139, 1269, 52.78, 2.4586)
(51, 'su2random_nativegates_ibm_qiskit_opt0_40.qasm', 40, 2340, 12909, 10569, 404.42, 5.5167)
(52, 'graphstate_nativegates_ibm_qiskit_opt0_30.qasm', 30, 30, 96, 66, 8.76, 3.2)
(53, 'realamprandom_nativegates_ibm_qiskit_opt0_20.qasm', 20, 570, 2586, 2016, 52.15, 4.5368)
(54, 'su2random_nativegates_ibm_qiskit_opt0_50.qasm', 50, 3675, 23130, 19455, 795.56, 6.2939)
(55, 'realamprandom_nativegates_ibm_qiskit_opt0_10.qasm', 10, 135, 453, 318, 1.97, 3.3556)
(56, 'grover-noancilla_nativegates_ibm_qiskit_opt0_10.qasm', 10, 39032, 56504, 17472, 34.29, 1.4476)
(57, 'qft_nativegates_ibm_qiskit_opt0_40.qasm', 40, 1620, 6411, 4791, 177.05, 3.9574)
(58, 'realamprandom_nativegates_ibm_qiskit_opt0_40.qasm', 40, 2340, 12909, 10569, 402.1, 5.5167)
(59, 'qftentangled_nativegates_ibm_qiskit_opt0_30.qasm', 30, 944, 2843, 1899, 45.72, 3.0117)
(60, 'qpeinexact_nativegates_ibm_qiskit_opt0_30.qasm', 30, 912, 3051, 2139, 41.76, 3.3454)
(61, 'twolocalrandom_nativegates_ibm_qiskit_opt0_30.qasm', 30, 1305, 7041, 5736, 168.37, 5.3954)
(62, 'qftentangled_nativegates_ibm_qiskit_opt0_50.qasm', 50, 2574, 8784, 6210, 366.38, 3.4126)
(63, 'qpeinexact_nativegates_ibm_qiskit_opt0_40.qasm', 40, 1617, 5373, 3756, 109.83, 3.3228)
(64, 'qft_nativegates_ibm_qiskit_opt0_30.qasm', 30, 915, 3012, 2097, 59.07, 3.2918)
(65, 'wstate_nativegates_ibm_qiskit_opt0_50.qasm', 50, 98, 152, 54, 0.01, 1.551)
(66, 'qnn_nativegates_ibm_qiskit_opt0_40.qasm', 40, 3159, 10596, 7437, 358.65, 3.3542)
(67, 'wstate_nativegates_ibm_qiskit_opt0_10.qasm', 10, 18, 18, 0, 0.0, 1.0)
(68, 'qftentangled_nativegates_ibm_qiskit_opt0_10.qasm', 10, 114, 249, 135, 0.3, 2.1842)
(69, 'realamprandom_nativegates_ibm_qiskit_opt0_50.qasm', 50, 3675, 23130, 19455, 800.66, 6.2939)
(70, 'qpeinexact_nativegates_ibm_qiskit_opt0_20.qasm', 20, 407, 1112, 705, 3.71, 2.7322)
(71, 'qpeinexact_nativegates_ibm_qiskit_opt0_10.qasm', 10, 102, 189, 87, 0.43, 1.8529)
The average ratio is 353575:120982 = 2.9225
The time spent for this test is 9090.21 : 9091.82
