('QFilter, GVal, SIZE, initial_mapping  =', '01y', True, 'all', 'top')
('lev, slayer, gamma, stop, anchor =', 3, 0, 0, 10, True)
In this test, we use Type 01y filter and top initial mapping for all circuits on torino
*****************************************
Fri Jun 21 02:14:52 2024
(60, 'su2random_nativegates_ibm_qiskit_opt0_40.qasm', 40, 2340, 21675, 19335, 291.9, 9.2628)
(70, 'realamprandom_nativegates_ibm_qiskit_opt0_40.qasm', 40, 2340, 21675, 19335, 290.09, 9.2628)
(9, 'qnn_nativegates_ibm_qiskit_opt0_50.qasm', 50, 4949, 30839, 25890, 352.76, 6.2314)
(65, 'su2random_nativegates_ibm_qiskit_opt0_50.qasm', 50, 3675, 36096, 32421, 454.51, 9.822)
(82, 'realamprandom_nativegates_ibm_qiskit_opt0_50.qasm', 50, 3675, 36096, 32421, 445.19, 9.822)
(19, 'twolocalrandom_nativegates_ibm_qiskit_opt0_50.qasm', 50, 3675, 36096, 32421, 503.04, 9.822)
(67, 'ae_nativegates_ibm_qiskit_opt0_100.qasm', 100, 9900, 87897, 77997, 786.78, 8.8785)
(42, 'qftentangled_nativegates_ibm_qiskit_opt0_100.qasm', 100, 10149, 61563, 51414, 2016.46, 6.0659)
(30, 'qft_nativegates_ibm_qiskit_opt0_100.qasm', 100, 10050, 79461, 69411, 2161.16, 7.9066)
(64, 'qnn_nativegates_ibm_qiskit_opt0_100.qasm', 100, 19899, 178746, 158847, 2661.18, 8.9827)
(53, 'su2random_nativegates_ibm_qiskit_opt0_100.qasm', 100, 14850, 235746, 220896, 5976.28, 15.8752)
(4, 'realamprandom_nativegates_ibm_qiskit_opt0_100.qasm', 100, 14850, 235746, 220896, 5987.34, 15.8752)
(1, 'twolocalrandom_nativegates_ibm_qiskit_opt0_100.qasm', 100, 14850, 235746, 220896, 6041.62, 15.8752)
Fri Jun 21 02:14:52 2024
over
